Position (mm);Force (N);Strain (%);Time (min)
0,933;3450;0,0109;0,937
0,937;3480;0,0112;0,942
0,943;3510;0,0113;0,946
0,947;3530;0,0117;0,951
0,952;3560;0,0118;0,956
0,957;3590;0,0122;0,961
0,962;3620;0,0123;0,966
0,967;3650;0,0125;0,971
0,971;3680;0,0128;0,975
0,976;3710;0,0131;0,980
0,981;3740;0,0133;0,985
0,986;3770;0,0136;0,990
0,990;3800;0,0138;0,995
0,995;3830;0,0140;0,999
1,00;3860;0,0143;1,00
1,00;3890;0,0145;1,01
1,01;3910;0,0148;1,01
1,01;3940;0,0150;1,02
1,02;3970;0,0153;1,02
1,02;4000;0,0155;1,03
1,03;4030;0,0157;1,03
1,03;4060;0,0160;1,04
1,04;4090;0,0162;1,04
1,04;4120;0,0165;1,05
1,05;4150;0,0168;1,05
1,05;4180;0,0170;1,06
1,06;4210;0,0172;1,06
1,06;4240;0,0175;1,07
1,07;4260;0,0177;1,07
1,07;4290;0,0180;1,08
1,08;4320;0,0182;1,08
1,08;4350;0,0185;1,09
1,09;4380;0,0187;1,09
1,09;4410;0,0190;1,10
1,10;4440;0,0192;1,10
1,10;4470;0,0193;1,11
1,11;4500;0,0197;1,11
1,11;4530;0,0200;1,11
1,12;4560;0,0202;1,12
1,12;4590;0,0205;1,12
1,13;4620;0,0208;1,13
1,13;4640;0,0210;1,13
1,14;4670;0,0212;1,14
1,14;4710;0,0215;1,14
1,14;4740;0,0217;1,15
1,15;4760;0,0220;1,15
1,15;4790;0,0222;1,16
1,16;4830;0,0225;1,16
1,16;4860;0,0227;1,17
1,17;4880;0,0230;1,17
1,17;4910;0,0232;1,18
1,18;4940;0,0235;1,18
1,18;4980;0,0237;1,19
1,19;5000;0,0240;1,19
1,19;5030;0,0242;1,20
1,20;5070;0,0245;1,20
1,20;5100;0,0248;1,21
1,21;5130;0,0250;1,21
1,21;5160;0,0252;1,22
1,22;5190;0,0255;1,22
1,22;5220;0,0258;1,23
1,23;5250;0,0260;1,23
1,23;5280;0,0263;1,24
1,24;5310;0,0265;1,24
1,24;5340;0,0268;1,24
1,25;5380;0,0272;1,25
1,25;5400;0,0273;1,25
1,26;5440;0,0277;1,26
1,26;5470;0,0278;1,26
1,27;5500;0,0282;1,27
1,27;5530;0,0285;1,27
1,27;5560;0,0287;1,28
1,28;5600;0,0290;1,28
1,28;5630;0,0293;1,29
1,29;5660;0,0295;1,29
1,29;5690;0,0298;1,30
1,30;5720;0,0302;1,30
1,30;5760;0,0303;1,31
1,31;5790;0,0307;1,31
1,31;5820;0,0308;1,32
1,32;5850;0,0312;1,32
1,32;5890;0,0315;1,33
1,33;5920;0,0317;1,33
1,33;5950;0,0320;1,34
1,34;5980;0,0323;1,34
1,34;6020;0,0325;1,35
1,35;6050;0,0327;1,35
1,35;6080;0,0330;1,36
1,36;6110;0,0333;1,36
1,36;6150;0,0337;1,36
1,37;6180;0,0339;1,37
1,37;6210;0,0342;1,37
1,38;6250;0,0345;1,38
1,38;6280;0,0347;1,38
1,39;6310;0,0350;1,39
1,39;6350;0,0353;1,39
1,39;6380;0,0355;1,40
1,40;6410;0,0358;1,40
1,40;6450;0,0362;1,41
1,41;6480;0,0363;1,41
1,41;6510;0,0367;1,42
1,42;6550;0,0370;1,42
1,42;6580;0,0373;1,43
1,43;6610;0,0375;1,43
1,43;6650;0,0378;1,44
1,44;6680;0,0381;1,44
1,44;6710;0,0383;1,45
1,45;6750;0,0386;1,45
1,45;6780;0,0390;1,46
1,46;6810;0,0392;1,46
1,46;6850;0,0395;1,47
1,47;6880;0,0398;1,47
1,47;6920;0,0400;1,48
1,48;6950;0,0403;1,48
1,48;6990;0,0407;1,49
1,49;7020;0,0410;1,49
1,49;7050;0,0412;1,49
1,50;7090;0,0415;1,50
1,50;7130;0,0418;1,50
1,51;7160;0,0420;1,51
1,51;7190;0,0423;1,51
1,51;7230;0,0426;1,52
1,52;7260;0,0428;1,52
1,52;7300;0,0432;1,53
1,53;7330;0,0435;1,53
1,53;7360;0,0438;1,54
1,54;7400;0,0442;1,54
1,54;7430;0,0444;1,55
1,55;7470;0,0447;1,55
1,55;7500;0,0448;1,56
1,56;7540;0,0452;1,56
1,56;7570;0,0455;1,57
1,57;7610;0,0457;1,57
1,57;7640;0,0460;1,58
1,58;7670;0,0463;1,58
1,58;7710;0,0467;1,59
1,59;7740;0,0470;1,59
1,59;7780;0,0472;1,60
1,60;7810;0,0475;1,60
1,60;7850;0,0478;1,61
1,61;7880;0,0482;1,61
1,61;7920;0,0483;1,62
1,62;7950;0,0487;1,62
1,62;7990;0,0490;1,62
1,63;8020;0,0493;1,63
1,63;8060;0,0495;1,63
1,64;8090;0,0498;1,64
1,64;8130;0,0502;1,64
1,64;8160;0,0504;1,65
1,65;8200;0,0507;1,65
1,65;8230;0,0510;1,66
1,66;8270;0,0513;1,66
1,66;8310;0,0517;1,67
1,67;8340;0,0519;1,67
1,67;8370;0,0522;1,68
