Position (mm);Force (N);Strain (%);Time (min)
11,6;33800;1,10;4,09
11,7;33800;1,10;4,10
11,8;33900;1,10;4,10
11,9;33900;1,10;4,11
12,0;33900;1,10;4,11
12,1;33900;1,10;4,12
12,2;34000;1,10;4,12
12,2;34000;1,10;4,13
12,3;34000;1,10;4,13
12,4;34000;1,10;4,13
12,5;34100;1,10;4,14
12,6;34100;1,10;4,14
12,7;34100;1,10;4,15
12,8;34100;1,10;4,15
12,9;34100;1,10;4,16
13,0;34200;1,10;4,16
13,0;34200;1,10;4,17
13,1;34200;1,10;4,17
13,2;34200;1,10;4,17
13,3;34200;1,10;4,18
13,4;34200;1,10;4,18
13,5;34200;1,10;4,19
13,6;34200;1,10;4,19
13,7;34200;1,10;4,20
13,8;34300;1,10;4,20
13,9;34300;1,10;4,21
13,9;34300;1,10;4,21
14,0;34300;1,10;4,21
14,1;34300;1,10;4,22
14,2;34300;1,10;4,22
14,3;34300;1,10;4,23
14,4;34300;1,10;4,23
14,5;34300;1,10;4,24
14,6;34300;1,10;4,24
14,7;34300;1,10;4,25
14,7;34300;1,10;4,25
14,8;34300;1,10;4,25
14,9;34300;1,10;4,26
15,0;34300;1,10;4,26
15,1;34300;1,10;4,27
15,2;34200;1,10;4,27
15,3;34200;1,10;4,28
15,4;34200;1,10;4,28
15,5;34200;1,10;4,29
15,5;34200;1,10;4,29
15,6;34200;1,10;4,29
15,7;34200;1,10;4,30
15,8;34200;1,10;4,30
15,9;34100;1,10;4,31
16,0;34100;1,10;4,31
16,1;34100;1,10;4,32
16,2;34100;1,10;4,32
16,3;34100;1,10;4,33
16,4;34000;1,10;4,33
16,4;34000;1,10;4,34
16,5;34000;1,10;4,34
16,6;33900;1,10;4,34
16,7;33900;1,10;4,35
16,8;33900;1,10;4,35
16,9;33800;1,10;4,36
17,0;33800;1,10;4,36
17,1;33700;1,10;4,37
17,2;33600;1,10;4,37
17,2;33600;1,10;4,38
17,3;33500;1,10;4,38
17,4;33400;1,10;4,38
17,5;33300;1,10;4,39
17,6;33200;1,10;4,39
17,7;33100;1,10;4,40
17,8;32900;1,10;4,40
17,9;32800;1,10;4,41
18,0;32600;1,10;4,41
18,1;32500;1,10;4,42
18,1;32300;1,10;4,42
18,2;32100;1,10;4,42
18,3;31900;1,10;4,43
18,4;31700;1,10;4,43
18,5;31500;1,10;4,44
18,6;31300;1,10;4,44
18,7;31000;1,10;4,45
18,8;30700;1,10;4,45
18,9;30500;1,10;4,46
18,9;30100;1,10;4,46
19,0;29800;1,10;4,46
19,1;29400;1,10;4,47
19,3;-493;1,10;4,48
